Names,Race or Ethnicity
"Rochon, Jennifer Louise",White
"Rodgers, Margaret Catharine",White
"Rogers, John M.",White
"Rose, Stephanie Marie",White
"Rose, Thomas M.",White
"Rosenbaum, Robin Stacie",White
"Rosenberg, Robin Lee",White
"Rosenstengel, Nancy Jo",White
"Rosenthal, Lee Hyman",White
"Ross, Allyne R.",White
"Ross, John Andrew",White
"Rossiter, Robert F., Jr.",White
"Rossman, Veronica Sophia",White
"Roth, Jane Richards",White
"Rothstein, Barbara Jacobs",White
"Rovner, Ilana Kara Diamond",White
"Rowland, Mary Margaret",White
"Royal, C. Ashley",White
"Rubin, Julie Rebecca",White
"Rudofsky, Lee Philip",White
"Rufe, Cynthia M.",White
"Rushing, Allison Jones",White
"Russell, David Lynn",White
"Ryan, James Leo",White
"Sachs, Howard Frederic",White
"Sack, Robert David",White
"Sam, David",White
"Sammartino, Janis Lynn",White
"Sannes, Brenda Kay",White
"Sargus, Edmund A., Jr.",White
"Saris, Patti B.",White
"Savage, Timothy J.",White
"Saylor, F. Dennis IV",White
"Scarsi, Mark Christopher",White
"Schall, Alvin Anthony",White
"Schell, Richard A.",White
"Schelp, Matthew Thomas",White
"Schiller, Berle M.",White
"Schiltz, Patrick Joseph",White
"Schlesinger, Harvey Erwin",White
"Schmehl, Jeffrey L.",White
"Schopler, Andrew George",White
"Schreier, Karen E.",White
"Schroeder, Mary Murphy",White
"Schroeder, Robert William III",White
"Schroeder, Thomas D.",White
"Schwab, Arthur J.",White
"Scirica, Anthony Joseph",White
"Scola, Robert Nichols, Jr.",White
"Scudder, Michael Yale, Jr.",White
"Scullin, Frederick James, Jr.",White
"Seabright, J[ohn] Michael",White
"Sedwick, John W.",White
"Seeborg, Richard G.",White
"Seeger, Steven Charles",White
"Seibel, Cathy",White
"Seitz, Patricia A.",White
"Self, Tilman Eugene III",White
"Selna, James V.",White
"Selya, Bruce Marshall",White
"Sentelle, David Bryan",White
"Sessions, William K. III",White
"Settle, Benjamin Hale",White
"Seybert, Joanna",White
"Seymour, Stephanie Kulp",White
"Shadid, James Edward",White
"Sharpe, Gary L.",White
